date,event
2020-02-23,Faschingszug
2023-02-19,Faschingszug
2024-02-11,Faschingszug
2019-03-03,Faschingszug
2019-04-14,Residenzlauf
2023-04-30,Residenzlauf
2024-04-28,Residenzlauf
2022-05-01,Residenzlauf
2019-11-23,Nacht der offenen Weinkeller
2023-11-25,Nacht der offenen Weinkeller
2024-11-23,Nacht der offenen Weinkeller
2019-06-01,Kristian Bezuidenhout
2019-09-13,Solarkreis
2021-06-06,Quatuor Tchalik
2022-07-23,Sting
2022-09-06,Paul Kalkbrenner
2023-08-11,Apache 207
2023-08-12,Andreas Gabalier
2019-11-29,Black Friday
2020-11-27,Black Friday
2021-11-26,Black Friday
2022-11-25,Black Friday
2023-11-24,Black Friday
2024-11-29,Black Friday
2019-10-27,Verkaufsoffener Sonntag
2020-10-25,Verkaufsoffener Sonntag
2021-10-31,Verkaufsoffener Sonntag
2022-10-30,Verkaufsoffener Sonntag
2023-10-29,Verkaufsoffener Sonntag
2024-10-27,Verkaufsoffener Sonntag
